"TIV of arms exports from the top 50 largest exporters, 2000-2019"
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions
Figures may not add up due to the conventions of rounding.
A '0' indicates that the value of deliveries is less than 0.5m
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/"

Source: SIPRI Arms Transfers Database
Generated: 11 March 2020


Rank 2000-2019,Rank 1999-2018,Supplier,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2000-2019
27,26,Brazil,,,19,,46,1,44,53,92,43,143,31,33,31,42,41,111,37,100,10,877
28,31,Jordan,,,,,42,20,,13,13,28,117,,21,25,114,16,17,80,1,86,592
29,28,North Korea,58,73,162,134,47,20,20,20,20,26,5,,,,1,,,,,,584
30,30,Austria,24,17,83,3,3,4,63,100,15,44,49,53,25,29,15,10,16,22,6,3,583
31,33,India,21,2,0,4,27,19,33,23,15,27,5,3,,14,36,42,45,56,43,115,530
32,29,Bulgaria,2,10,37,44,19,86,5,9,4,16,4,2,13,21,14,70,61,30,14,,459
33,32,Iran,0,0,3,9,1,2,75,,43,45,45,86,21,12,47,15,5,20,,,428
34,34,Portugal,,,,,,,,,99,46,,0,0,,18,7,172,56,3,3,404
35,36,Libya,,,21,16,113,113,18,10,18,32,28,0,,,,,,,,,368
36,39,Unknown supplier(s),11,21,16,5,6,42,2,0,35,16,30,3,14,10,26,11,18,14,41,22,343
37,38,Singapore,11,,4,,65,,,,,31,25,13,76,1,2,48,47,,,,322
38,37,Indonesia,,16,49,,25,8,8,,1,,,8,,,,,86,94,15,8,319
39,40,Romania,3,,,24,,3,8,32,,2,1,0,108,108,,,,,,,289
40,41,Denmark,20,1,10,5,,,9,6,17,14,8,30,33,9,17,25,25,21,28,4,281
41,35,Slovakia,37,53,32,,46,,7,22,8,,,,4,1,8,3,18,22,12,,272
42,42,Ireland,,,,,,16,32,31,28,28,26,1,26,27,14,,,,,,227
43,44,Moldova,6,42,60,13,,18,3,19,29,20,,11,,,,,,,,,222
44,45,Serbia,,11,,,,,5,5,45,1,31,4,11,11,10,35,23,2,27,,222
45,47,Montenegro,,,,,,,71,109,,,18,,,,,,,0,,,198
46,46,Georgia,69,,69,,16,,,,,,,,,,,,6,7,,,167
47,48,Hungary,,,34,,,82,,9,,,,,,41,,,,,,,166
48,49,Kyrgyzstan,,,,92,,,18,18,14,,,,,,,4,5,5,,,156
49,50,Chile,1,,1,,,,,,100,,,,,,20,,,,0,,123
50,51,Thailand,,,,7,7,,93,,,,,,,,,,2,2,,,112

,,Others,31,47,71,14,53,58,83,44,5,77,21,102,77,29,28,36,24,64,78,28,971
,,Total,19337,18744,17877,19034,21350,21582,24811,26641,24142,24264,25771,30106,28169,27132,27023,28605,31267,31544,27165,27194,501758
